Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,heavy,10733,0,9,9.155546330248251,3.121695015579462,32.076563977170736,84.88810211497251,762.988338247812,0.0,9,10,10,10,11,12,16,18,30,31,32
GET,medium,21741,0,9,9.099105107769248,3.2196479733102024,32.33406401704997,104.7375465709949,1545.5258978706495,0.0,9,10,10,10,11,12,16,17,29,32,32
GET,simple,32431,0,9,9.070137432416969,1.9290699856355786,32.2201710077934,92.00024667756159,2305.4574487761847,0.0,9,10,10,10,11,12,16,17,29,31,32
,Aggregated,64905,0,9,9.093964255161858,1.9290699856355786,32.33406401704997,95.09071720206455,4613.971684894646,0.0,9,10,10,10,11,12,16,17,29,32,32
