protocol,cpus,mem,signal,target_rate,generators,workers_each,per_worker_rate,received_rate,refused_rate,cpu_cores,cpu_util_pct,mem_rss_bytes,container_alive
grpc,0.5,256m,traces,5000,1,50,100,5000,0,0.024,4.8,204943360,true
grpc,0.5,256m,traces,15000,1,50,300,15000,0,0.062,12.4,211378176,true
grpc,0.5,256m,traces,30000,1,50,600,30005,0,0.121,24.3,217038848,true
grpc,0.5,256m,traces,60000,1,50,1200,58635,0,0.231,46.2,223973376,true
grpc,0.5,256m,traces,120000,2,50,1200,116750,0,0.481,96.3,224854016,true
grpc,0.5,256m,traces,200000,2,50,2000,125210,0,0.500,100.0,226734080,true
