protocol,cpus,mem,signal,target_rate,generators,workers_each,per_worker_rate,received_rate,refused_rate,cpu_cores,cpu_util_pct,mem_rss_bytes,container_alive
http,0.5,256m,traces,5000,1,50,100,5000,0,0.020,3.9,200536064,true
http,0.5,256m,traces,15000,1,50,300,15000,0,0.053,10.5,205053952,true
http,0.5,256m,traces,30000,1,50,600,30000,0,0.108,21.5,210378752,true
http,0.5,256m,traces,60000,1,50,1200,58945,0,0.206,41.3,219525120,true
http,0.5,256m,traces,120000,2,50,1200,117840,0,0.418,83.6,221208576,true
http,0.5,256m,traces,200000,2,50,2000,147045,0,0.499,99.8,226549760,true
